韓劇名稱,類型,演員名稱,發行年份,圖片,預告
某一天,犯罪驚悚,金秀賢、車勝元,2021,https://vbmspic.video.friday.tw/GROUP/2131/2131_1369622.jpg,https://www.youtube.com/watch?v=DBn_mvoCaCU
怪物,犯罪驚悚,申河均、呂珍九,2021,https://vbmspic.video.friday.tw/GROUP/1793/1793_5398202.jpg,https://www.youtube.com/watch?v=dilqw2gySHE
地獄公使,驚悚奇幻,劉亞仁、金賢珠、朴正民、元真兒、梁益準,2021,https://image.stheadline.com/f/1296p810/0x0/100/hd/4c37b539539582086d6b29ae968286e9/stheadline/inewsmedia/20211022/_2021102219542627102.jpg,https://www.youtube.com/watch?v=Fjpkdc2APec
財閥家的小兒子,奇幻犯罪,宋仲基、李星民、申鉉彬,2022,https://a.ksd-i.com/a/2022-10-12/143829-955831.jpeg,https://www.youtube.com/watch?v=Pjp62K9ote4
Connect:連瞳,動作奇幻,丁海寅、高庚杓、金慧峻,2022,https://obs.line-scdn.net/0hS4IiuBT2DBt0EBnoNFRzTExGAGpHdhYSVn5EdQRHUiMKPEhJGnJfeAEVUzcKc08aVHQRLgUXUX5eIkNISg/w644,https://www.youtube.com/watch?v=tnRPpoKeaTQ
警校菜鳥,愛情校園,姜丹尼爾、蔡秀彬、李新英、朴柔娜,2022,https://a.ksd-i.com/a/2021-12-30/139186-929579.jpeg,https://www.youtube.com/watch?v=mW-9PbBHZ_k
還魂,奇幻古裝愛情,李宰旭、庭沼珉、黃旼炫,2022,https://a.ksd-i.com/a/2022-06-13/141802-945647.jpg,https://www.youtube.com/watch?v=FsHlLnVzBG8
Show Window：女王之家,狗血,宋玧妸、李成宰、全昭旻、黃燦盛,2021,https://www.themoviedb.org/t/p/original/4pH7sjCqLaWbSJKOhf2gbjxZBxk.jpg,https://www.youtube.com/watch?v=RVZDAoO5YQw
智異山,犯罪,全智賢、朱智勛,2021,https://a.ksd-i.com/a/2021-10-26/138135-922755.jpg,https://www.youtube.com/watch?v=_0UoWZzp8uM
黑色太陽,動作,南宮珉、朴河宣、金智恩,2021,https://ericaheartroom.com/wp-content/uploads/2021/09/黑色太陽_androidTV_1920x1080.jpg,https://www.youtube.com/watch?v=WTD-EwUcGRA
無法抗拒的他,愛情日常,宋江、韓韶禧、蔡鍾協、李烈音、楊惠智、李浩貞、尹瑞娥,2021,https://a.ksd-i.com/a/2021-07-07/136394-912429.jpeg,https://www.youtube.com/watch?v=PKciqOHatpA
愛在大都會,喜劇愛情,池昌旭、金智媛、金玟錫、韓智恩,2020,https://s.yimg.com/os/creatr-uploaded-images/2021-01/aca79a80-5c01-11eb-ae7d-5cc21509d692,https://www.youtube.com/watch?v=mKjvVw-NPbc
便利店新星,愛情喜劇日常,池昌旭、金裕貞、韓善伙、都想友、率濱、金旻奎,2020,https://a.ksd-i.com/a/2020-06-18/127681-849433.jpg,https://www.youtube.com/watch?v=wEfx_XLoArc
警察課程,愛情校園喜劇,車太鉉、鄭振永、鄭秀晶,2021,https://a.ksd-i.com/a/2021-07-31/136784-914591.jpg,https://www.youtube.com/watch?v=1WA6RuZKWHE
D.P：逃兵追緝令,動作,丁海寅、具教煥、金成均、孫錫久,2021,https://www.dramaqueen.com.tw/images/video_poster/2021/202108131211404590ac27c40e1ba026bcc7b777e4b8bed0ae.jpg,https://www.youtube.com/watch?v=XznwXoff6Rc
戀慕,古裝愛情,朴恩斌、路雲,2021,https://a.ksd-i.com/a/2021-09-21/137593-919671.jpg,https://www.youtube.com/watch?v=mj4ZspMFoiU
學校2021,愛情校園,金曜漢、趙怡賢、秋英宇、黃寶凜星,2021,https://a.ksd-i.com/a/2021-11-03/138254-923459.jpg,https://www.youtube.com/watch?v=ktyvwffFYJQ
Start-Up,愛情日常,南柱赫、秀智、金宣虎、姜漢娜,2020,https://a.ksd-i.com/a/2020-09-02/129758-870752.jpg,https://www.youtube.com/watch?v=aD84J4oXA6g
梨泰院Class,愛情喜劇,朴敘俊、金多美、權娜拉,2020,https://news.agentm.tw/wp-content/uploads/20200129_143652_871-750x422.jpg,https://www.youtube.com/watch?v=PxFI5-Idi5Q
謗法,懸疑犯罪驚悚,嚴志媛、成東鎰、鄭知蘇、趙敏修,2020,https://im.marieclaire.com.tw/m800c533h100b0/assets/mc/202106/60D87D9787BBE1624800663.jpeg,https://www.youtube.com/watch?v=jQpKG-9wzt4
